,Summary,Price,Size,Brand,Condition,Category,Site
221,lululemon athletica tight fit short sleeve shirt,20,6,lululemon,PreOwned,tops,Poshmark
222,lululemon ruffles side tank with back crossing 8,25,8,lululemon,PreOwned,tops,Poshmark
223,lululeman two tops,3,8,lululemon,PreOwned,tops,Poshmark
224,lululeman two tops,3,8,lululemon,PreOwned,tops,Poshmark
225,lululemon turtleneck,13,8,lululemon,PreOwned,outerwear,Poshmark
226,lululemon jacket 10,80,10,lululemon,PreOwned,outerwear,Poshmark
227,lululemon pants,20,4,lululemon,PreOwned,bottoms,Poshmark
228,lululemon athletica muscle tank,20,8,lululemon,PreOwned,tops,Poshmark
229,light blue lululemon tank,13,6,lululemon,PreOwned,tops,Poshmark
230,lululemon black sport bra tank top,17,6,lululemon,PreOwned,tops,Poshmark
231,lululemon shorts,25,4,lululemon,PreOwned,bottoms,Poshmark
232,lululemon sport headbands,12,OS,lululemon,PreOwned,accessories,Poshmark
233,lululemon energy bra,20,8,lululemon,PreOwned,bras,Poshmark
234,lululemon saize 6,14,6,lululemon,PreOwned,other,Poshmark
235,lululemon down running jacket,22,4,lululemon,PreOwned,outerwear,Poshmark
236,lululemon short!!,10,4,lululemon,PreOwned,bottoms,Poshmark
237,lululemon saize 2,18,2,lululemon,PreOwned,other,Poshmark
238,lululemon saize 10,16,10,lululemon,PreOwned,other,Poshmark
239,lululemon free to be bra (first release),20,6,lululemon,PreOwned,bras,Poshmark
240,lululemon pace rival crop 22”,60,6,lululemon,PreOwned,bottoms,Poshmark
241,lulu lemon backpack,20,OS,lululemon,PreOwned,bag,Poshmark
242,lululemon scuba sparkle iii lavender hoodie,10,4,lululemon,PreOwned,outerwear,Poshmark
243,maroon lululemon shorts,32,6,lululemon,PreOwned,bottoms,Poshmark
244,lululemon sports bra,15,6,lululemon,PreOwned,bras,Poshmark
245,lululemon cropped leggings,15,2,lululemon,PreOwned,bottoms,Poshmark
246,lululemon hotty hot shorts,30,6,lululemon,PreOwned,bottoms,Poshmark
247,lot of 9 pairs of lululemon shorts,94,8,lululemon,PreOwned,bottoms,Poshmark
248,lululemon wunder under leggings,20,6,lululemon,PreOwned,bottoms,Poshmark
249,lulu leggings loose fit size pockets pant,15,Loose Fit maybe12-14,lululemon,PreOwned,bottoms,Poshmark
250,""" festival bag "" can be used as purse for everyday",20,OS,lululemon,PreOwned,accessories,Poshmark
251,lululemon wunder under leggings,20,6,lululemon,PreOwned,bottoms,Poshmark
252,"lululemon on the fly short 2.5""",46,6,lululemon,PreOwned,bottoms,Poshmark
253,lululemon leggings,17,8,lululemon,PreOwned,bottoms,Poshmark
254,lululemon free to be wild bra size 6,30,6,lululemon,PreOwned,bras,Poshmark
255,"lululemon 25"" align legging",55,6,lululemon,PreOwned,other,Poshmark
256,lululemon bra,15,6,lululemon,PreOwned,bras,Poshmark
257,lululemon zip up size 4,16,4,lululemon,PreOwned,other,Poshmark
258,lululemon reusable totes,15,OS,lululemon,PreOwned,bag,Poshmark
