,price,brand_iro,brand_lululemon,brand_realisationpar,brand_reformation,brand_rouje,brand_sezane,brand_therow,brand_ullajohnson,brand_zimmermann,condition_preowned,category_bras,category_dresses,category_outerwear,category_tops
37016,80.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
37017,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37018,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37019,13.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37020,25.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37021,22.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
37022,20.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
37023,32.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37024,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37025,15.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37026,46.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37027,30.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
37028,35.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37029,30.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37030,10.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37031,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37032,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37033,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37034,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37035,13.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
37036,80.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
37037,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37038,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37039,13.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37040,25.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37041,22.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
37042,20.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
37043,30.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37044,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37045,15.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37046,35.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37047,30.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37048,10.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37049,28.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37050,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37051,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37052,25.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37053,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37054,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37055,13.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
37056,80.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
37057,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37058,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37059,13.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37060,22.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
37061,10.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37062,20.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
37063,30.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37064,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37065,15.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37066,46.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37067,35.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37068,30.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37069,10.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37070,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37071,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37072,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37073,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37074,13.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
37075,80.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
37076,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37077,13.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37078,25.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37079,22.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
37080,10.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37081,20.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
37082,32.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37083,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
