,Summary,Price,Brand,Condition,Category,Site
175,"sold  sep 16, 2019lululemon crossback tank top sugar crush multi silver fox size 4.",10.00,lululemon,PreOwned,tops,eBay
176,"sold  sep 16, 2019lululemon leggings womens size 6 athletic cropped mesh pants",35.00,lululemon,PreOwned,bottoms,eBay
177,"sold  sep 16, 2019lululemon victorias secret forever 21 lot of 6 tanks & hoodie xs s 4",9.50,lululemon,PreOwned,tops,eBay
178,"sold  sep 16, 2019lululemon short sleeve fitted yellow workout top shirt scoop neck size 2",19.00,lululemon,PreOwned,tops,eBay
179,"sold  sep 16, 2019lululemon women’s speed up shorts 2.5” sz4",46.00,lululemon,PreOwned,bottoms,eBay
180,"sold  sep 16, 2019lululemon womens size 8 awesoma henley hyper stripe slate gray v neck top",26.99,lululemon,PreOwned,tops,eBay
181,"sold  sep 16, 2019lululemon mens size medium tights metal vent",41.39,lululemon,PreOwned,bottoms,eBay
182,"sold  sep 16, 2019lululemon ""what the sport short"" full-on luxtreme size 6 ~ yoga blushed illusion",29.99,lululemon,PreOwned,bottoms,eBay
183,"sold  sep 16, 2019lululemon swiftly long sleeve blue glow 4",41.00,lululemon,PreOwned,other,eBay
184,"sold  sep 16, 2019lululemon wide leg pants size 4 - navy blue",15.00,lululemon,PreOwned,bottoms,eBay
185,"sold  sep 16, 2019lululemon athletica womens top athletic fitness size 4 white",26.38,lululemon,PreOwned,tops,eBay
186,"sold  sep 16, 2019lululemon tight stuff tight red cranberry scalloped reflective 7/8 size 2 #071",75.00,lululemon,PreOwned,other,eBay
187,"sold  sep 16, 2019lululemon women’s speed up shorts 2.5” sz4",30.00,lululemon,PreOwned,bottoms,eBay
188,"sold  sep 16, 2019lululemon women’s black pull over half zip hoodie/sweater/top size 6",35.00,lululemon,PreOwned,tops,eBay
189,"sold  sep 16, 2019women’s lululemon pace rival skirt / skort tennis running black size 6",32.99,lululemon,PreOwned,bottoms,eBay
190,"sold  sep 16, 2019mens lululemon gray/gray full zip jacket large excellent condition",58.99,lululemon,PreOwned,outerwear,eBay
191,"sold  sep 16, 2019lululemon energy sports bra strappy mesh back active top yoga running size: 10",29.99,lululemon,PreOwned,tops,eBay
192,"sold  sep 16, 2019lululemon knot gonna fly tee hood modern stripe heathered black size 2",29.99,lululemon,PreOwned,tops,eBay
193,"sold  sep 16, 2019lululemon core shorts men’s medium",34.00,lululemon,PreOwned,bottoms,eBay
194,"sold  sep 16, 2019lululemon 10-sculpt tank ii- black",25.50,lululemon,PreOwned,tops,eBay
195,"sold  sep 16, 2019lululemon olive green joggers - size large - barely worn! (retail $128)",44.00,lululemon,PreOwned,other,eBay
196,"sold  sep 16, 2019lululemon first mile tech tight fleece cold weather leggings black sz 8",59.99,lululemon,PreOwned,bottoms,eBay
197,"sold  sep 16, 2019mens lululemon black pullover crew sweater sz l",40.49,lululemon,PreOwned,outerwear,eBay
198,"sold  sep 16, 2019lululemon shorts mens small good condition",35.76,lululemon,PreOwned,bottoms,eBay
199,"sold  sep 16, 2019lululemon tank & bra 2 white scrappy back",5.20,lululemon,PreOwned,tops,eBay
200,"sold  sep 16, 2019lululemon hooded work out track jacket thumb holes size 10 ",44.99,lululemon,PreOwned,outerwear,eBay
201,"sold  sep 16, 2019lululemon women’s black short sz 2",14.00,lululemon,PreOwned,bottoms,eBay
202,"sold  sep 16, 2019lululemon capri leggings gray grey sz 2",23.50,lululemon,PreOwned,bottoms,eBay
203,"sold  sep 16, 2019lululemon run pacesetter skirt sz 6 cadet blue stripe pace setter skort",43.16,lululemon,PreOwned,bottoms,eBay
204,"sold  sep 16, 2019lululemon awareness wrap hoodie jacket black w/ purple dip dye lining sz 4 rare",54.99,lululemon,PreOwned,outerwear,eBay
205,"sold  sep 16, 2019lululemon wunder under cropped leggings black womens size 8",39.99,lululemon,PreOwned,bottoms,eBay
206,"sold  sep 16, 2019mint worn 2x men's lululemon free style polo light blue golf size x large xl",25.99,lululemon,PreOwned,other,eBay
207,"sold  sep 16, 2019sale! lululemon dynamic black & purple tank top womens size 8 yoga fitness",19.99,lululemon,PreOwned,tops,eBay
208,"sold  sep 16, 2019lululemon women’s red short sz 4",33.00,lululemon,PreOwned,bottoms,eBay
209,"sold  sep 16, 2019lululemon classic solid black tee athletic tee shirt size 4 lightweight ",19.99,lululemon,PreOwned,tops,eBay
210,"sold  sep 16, 2019lululemon 6 zip up jacket ,blackish, thumbholes, front zip pockets",35.00,lululemon,PreOwned,outerwear,eBay
211,"sold  sep 16, 2019lululemon womens size 8 seawheeze 2013 tracker shorts multicolored plaid",50.00,lululemon,PreOwned,bottoms,eBay
212,"sold  sep 16, 2019womens lululemon size 4 pants gray euc",26.00,lululemon,PreOwned,bottoms,eBay
213,"sold  sep 16, 2019lululemon speed short mind over miles women's shorts white size 2",22.99,lululemon,PreOwned,bottoms,eBay
214,"sold  sep 16, 2019lululemon ripple effect tank side-cinched sz 2 heathered dusty dawn purple",24.70,lululemon,PreOwned,tops,eBay
215,"sold  sep 16, 2019lululemon women’s speed up shorts 2.5” sz4",27.00,lululemon,PreOwned,bottoms,eBay
