,Summary,Price,Brand,Condition,Category,Site
139,"sold  sep 14, 2019reformation daisy top size xs",47.00,Reformation,New,tops,eBay
140,"sold  sep 14, 2019reformation bardot tee top ribbed xs s nwt black ballet square neck",40.00,Reformation,New,tops,eBay
141,"sold  sep 14, 2019nwot reformation gwenyth wrap dress - s",249.00,Reformation,New,dresses,eBay
142,"sold  sep 14, 2019reformation nebraska linen dress size 6 nwt $218",105.50,Reformation,New,bras,eBay
143,"sold  sep 14, 2019nwot reformation daryn fletcher jacket small black blazer coat doen $300",128.00,Reformation,New,outerwear,eBay
144,"sold  sep 16, 2019$320 reformation women's roman midi black floral sun dress sleeveless size 12",45.47,Reformation,New,dresses,eBay
145,"sold  sep 16, 2019reformation florence skirt s small bnwt",51.08,Reformation,New,bottoms,eBay
146,"sold  sep 16, 2019reformation navy paisley mini wrap dress size xs nwt",49.82,Reformation,New,dresses,eBay
147,"sold  sep 16, 2019$78 reformation iris ribbed button down top size s small ",49.99,Reformation,New,tops,eBay
148,"sold  sep 16, 2019reformation lasker coat size medium",66.00,Reformation,New,outerwear,eBay
149,"sold  sep 16, 2019reformation lasker coat size medium",65.00,Reformation,New,outerwear,eBay
150,"sold  sep 16, 2019reformation blush wrap style midi dress size s, uk8-10 new",74.75,Reformation,New,dresses,eBay
151,"sold  sep 16, 2019nwot reformation white linen long dress side slit apron style size small",60.00,Reformation,New,dresses,eBay
152,"sold  sep 16, 2019new! reformation | clark striped ribbed tee shirt blue white long sleeve fitted",39.99,Reformation,New,tops,eBay
153,"sold  sep 16, 2019reformation henna wrap fringe dress black xs new",48.20,Reformation,New,dresses,eBay
154,"sold  sep 16, 2019new reformation sammi ribbed turtleneck mini dress lipstick red size small $148",58.98,Reformation,New,dresses,eBay
155,"sold  sep 15, 2019nwt new reformation crimini slipdress in size 10 ",75.00,Reformation,New,dresses,eBay
156,"sold  sep 15, 2019reformation zoe side slit midi skirt bebe size 6 sold out",140.00,Reformation,New,bottoms,eBay
157,"sold  sep 15, 2019new reformation lilah mini dress size small cap sleeve sheath keyhole 5248",79.99,Reformation,New,dresses,eBay
158,"sold  sep 15, 2019reformation kealy midi dress size 10 blue floral current nwt $218",115.00,Reformation,New,dresses,eBay
159,"sold  sep 15, 2019$200 reformation eileen stripe midi linen dress size 6",149.99,Reformation,New,dresses,eBay
160,"sold  sep 15, 2019reformation women’s bryce 29 ginger cut off relaxed jean shorts new nwt blue",59.99,Reformation,New,bottoms,eBay
161,"sold  sep 15, 2019reformation womens lexi lace up sleeveless square neck denim blouse blue size 4",32.00,Reformation,New,other,eBay
162,"sold  sep 15, 2019reformation black women's size 2 floral vanessa long sleeve dress, nwt!",149.99,Reformation,New,dresses,eBay
163,"sold  sep 15, 2019brand new reformation midi dress. blue. unworn with tags. uk- xs/ us- 0/ eu- 32",124.59,Reformation,New,bras,eBay
164,"sold  sep 15, 2019nwt reformation bridgette bodysuit small brandy melville faithfull",28.00,Reformation,New,bras,eBay
165,"sold  sep 15, 2019nwt reformation rose romper 6 jumpsuit linen christy dawn style",112.00,Reformation,New,jumpsuits,eBay
166,"sold  sep 15, 2019reformation britten dress",150.00,Reformation,New,dresses,eBay
167,"sold  sep 15, 2019reformation emmie lace trim linen camisole white m nwt $52",15.00,Reformation,New,other,eBay
168,"sold  sep 15, 2019reformation persimmon dress, size 4, red/white, perfect condition",54.00,Reformation,New,dresses,eBay
169,"sold  sep 15, 2019nwot reformation bruno dress 2 xs s as seen on lily aldridge and christy dawn",65.00,Reformation,New,dresses,eBay
170,"sold  sep 15, 2019stunning reformation 'heidi' floral midi dress bell sleeve 70s us 0/2 uk 4/6 xs",74.75,Reformation,New,dresses,eBay
171,"sold  sep 15, 2019nwt reformation lou dress small emerald green",89.00,Reformation,New,dresses,eBay
172,"sold  sep 15, 2019nwt reformation jeans black lou dress s",75.00,Reformation,New,bottoms,eBay
