,Summary,Price,Size,Brand,Condition,Category,Site
233,reformation green cropped oversized t-shirt,30,L,Reformation,PreOwned,tops,Poshmark
234,reformation sydney dress size 12  navy blue mini,95,12,Reformation,PreOwned,dresses,Poshmark
235,nwt reformation fit flare lou midi dress,95,S,Reformation,New,dresses,Poshmark
236,reformation aida button down mini dress ochre xl,98,XL,Reformation,PreOwned,dresses,Poshmark
237,reformation purple lace up tunic shirt blouse,75,XXS,Reformation,PreOwned,tops,Poshmark
238,reformation petite raquel dress,100,2,Reformation,PreOwned,dresses,Poshmark
239,reformation sheer navy blue maxi dress - nwt,185,M,Reformation,New,dresses,Poshmark
240,reformation maurita dress,125,0,Reformation,PreOwned,dresses,Poshmark
241,reformation chocolate velvet maxi dress m b3,150,M,Reformation,PreOwned,dresses,Poshmark
242,reformation hattie off the shoulder  dress b502,165,0,Reformation,PreOwned,dresses,Poshmark
243,reformation tank maxi red dress size large,65,L,Reformation,PreOwned,tops,Poshmark
244,reformation off-shoulder long sleeve,30,XS,Reformation,PreOwned,other,Poshmark
245,reformation linen set,98,XS,Reformation,PreOwned,other,Poshmark
246,nwt reformation britta dress,180,4,Reformation,New,dresses,Poshmark
247,reformation gilda green jumpsuit,135,10,Reformation,PreOwned,jumpsuits,Poshmark
248,reformation serena melbourne destroyed jeans,61,29,Reformation,PreOwned,bottoms,Poshmark
249,reformation floral button down dress size 0,125,0,Reformation,PreOwned,dresses,Poshmark
250,reformation off the shoulder dress!,85,0,Reformation,PreOwned,dresses,Poshmark
251,reformation marina blue jumpsuit size 6b704,150,6,Reformation,PreOwned,jumpsuits,Poshmark
252,reformation chamomile maxi wrap dress,250,L,Reformation,PreOwned,dresses,Poshmark
253,reformation radford metallic dress large,75,L,Reformation,PreOwned,dresses,Poshmark
254,diane von furstenberg gennifer two linen pants new,40,2,Reformation,New,bottoms,Poshmark
255,reformation julia crop high cigarette jean,99,31,Reformation,PreOwned,bottoms,Poshmark
256,reformation black molly jumpsuit,184,4,Reformation,PreOwned,jumpsuits,Poshmark
257,reformation green peach midi dress,149,8,Reformation,PreOwned,dresses,Poshmark
258,reformation red gingham mini skirt size 0,50,0,Reformation,PreOwned,bottoms,Poshmark
259,reformation ribbed mock neck 3/4 sleeve tee,20,L,Reformation,PreOwned,tops,Poshmark
260,nwt reformation cherry linen mini ots dress,95,S,Reformation,New,dresses,Poshmark
261,reformation olive green long sleeve wrap midi dres,100,S,Reformation,PreOwned,other,Poshmark
262,reformation navy blue halter evening gown,175,4,Reformation,PreOwned,other,Poshmark
263,reformation radford black metallic dress,109,S,Reformation,PreOwned,dresses,Poshmark
264,reformation wide leg pants,75,8,Reformation,PreOwned,bottoms,Poshmark
265,reformation jeans jordan kick flare size 30,75,30,Reformation,PreOwned,bottoms,Poshmark
266,reformation | high rise cropped cigarette jeans,95,29,Reformation,PreOwned,bottoms,Poshmark
267,reformation roper valley plaid jean size 29 b415,85,29,Reformation,PreOwned,other,Poshmark
268,reformation perry jean open leg black b628 nwot,95,27,Reformation,New,other,Poshmark
269,reformation poppy dress navy,259,0,Reformation,PreOwned,dresses,Poshmark
270,reformation domingo dress in black,165,0,Reformation,PreOwned,dresses,Poshmark
271,"reformation maxine white linen mini dress, size 10",200,10,Reformation,PreOwned,dresses,Poshmark
272,nwt reformation black spacey maxi sheer dress,89,S,Reformation,New,dresses,Poshmark
273,reformation thelma dress nwot size 6,145,6,Reformation,New,dresses,Poshmark
274,reformation shirley dress,75,XS,Reformation,PreOwned,dresses,Poshmark
275,reformation badlands jean jacket nwt,65,M,Reformation,New,outerwear,Poshmark
276,reformation | urban renewal clay mini shift dress,39,S,Reformation,New,dresses,Poshmark
277,nwt reformation maurie dress in aubergine size l,89,L,Reformation,New,dresses,Poshmark
278,reformation vintage soft leather shearling coat,112,S,Reformation,PreOwned,outerwear,Poshmark
279,reformation cory high waisted black skinny jeans,55,28,Reformation,PreOwned,bottoms,Poshmark
280,reformation sunset cap sleeve mini dress in iris,160,0,Reformation,PreOwned,dresses,Poshmark
281,reformation green cropped oversized t-shirt,30,L,Reformation,PreOwned,tops,Poshmark
282,reformation sydney dress size 12  navy blue mini,95,12,Reformation,PreOwned,dresses,Poshmark
283,nwt reformation fit flare lou midi dress,95,S,Reformation,New,dresses,Poshmark
284,reformation aida button down mini dress ochre xl,98,XL,Reformation,PreOwned,dresses,Poshmark
285,reformation purple lace up tunic shirt blouse,75,XXS,Reformation,PreOwned,tops,Poshmark
286,reformation petite raquel dress,100,2,Reformation,PreOwned,dresses,Poshmark
287,reformation sheer navy blue maxi dress - nwt,185,M,Reformation,New,dresses,Poshmark
288,nwt reformation maurita dress rajah sz. 0,159,0,Reformation,New,dresses,Poshmark
289,reformation maurita dress,125,0,Reformation,PreOwned,dresses,Poshmark
290,reformation chocolate velvet maxi dress m b3,150,M,Reformation,PreOwned,dresses,Poshmark
291,reformation hattie off the shoulder  dress b502,165,0,Reformation,PreOwned,dresses,Poshmark
292,reformation tank maxi red dress size large,65,L,Reformation,PreOwned,tops,Poshmark
293,reformation off-shoulder long sleeve,30,XS,Reformation,PreOwned,other,Poshmark
294,reformation linen set,98,XS,Reformation,PreOwned,other,Poshmark
295,nwt reformation britta dress,180,4,Reformation,New,dresses,Poshmark
296,reformation gilda green jumpsuit,135,10,Reformation,PreOwned,jumpsuits,Poshmark
297,reformation serena melbourne destroyed jeans,61,29,Reformation,PreOwned,bottoms,Poshmark
298,reformation floral button down dress size 0,125,0,Reformation,PreOwned,dresses,Poshmark
299,reformation off the shoulder dress!,85,0,Reformation,PreOwned,dresses,Poshmark
300,reformation marina blue jumpsuit size 6b704,150,6,Reformation,PreOwned,jumpsuits,Poshmark
301,reformation chamomile maxi wrap dress,250,L,Reformation,PreOwned,dresses,Poshmark
302,reformation radford metallic dress large,75,L,Reformation,PreOwned,dresses,Poshmark
303,diane von furstenberg gennifer two linen pants new,40,2,Reformation,New,bottoms,Poshmark
304,reformation julia crop high cigarette jean,99,31,Reformation,PreOwned,bottoms,Poshmark
305,reformation black molly jumpsuit,184,4,Reformation,PreOwned,jumpsuits,Poshmark
306,reformation green peach midi dress,149,8,Reformation,PreOwned,dresses,Poshmark
307,reformation red gingham mini skirt size 0,50,0,Reformation,PreOwned,bottoms,Poshmark
308,reformation ribbed mock neck 3/4 sleeve tee,20,L,Reformation,PreOwned,tops,Poshmark
309,nwt reformation cherry linen mini ots dress,95,S,Reformation,New,dresses,Poshmark
310,reformation olive green long sleeve wrap midi dres,100,S,Reformation,PreOwned,other,Poshmark
311,reformation navy blue halter evening gown,175,4,Reformation,PreOwned,other,Poshmark
312,reformation radford black metallic dress,109,S,Reformation,PreOwned,dresses,Poshmark
313,reformation wide leg pants,75,8,Reformation,PreOwned,bottoms,Poshmark
314,reformation jeans jordan kick flare size 30,75,30,Reformation,PreOwned,bottoms,Poshmark
315,reformation | high rise cropped cigarette jeans,95,29,Reformation,PreOwned,bottoms,Poshmark
316,reformation roper valley plaid jean size 29 b415,85,29,Reformation,PreOwned,other,Poshmark
317,reformation perry jean open leg black b628 nwot,95,27,Reformation,New,other,Poshmark
318,reformation poppy dress navy,259,0,Reformation,PreOwned,dresses,Poshmark
319,reformation domingo dress in black,165,0,Reformation,PreOwned,dresses,Poshmark
320,"reformation maxine white linen mini dress, size 10",200,10,Reformation,PreOwned,dresses,Poshmark
321,nwt reformation black spacey maxi sheer dress,89,S,Reformation,New,dresses,Poshmark
322,reformation thelma dress nwot size 6,145,6,Reformation,New,dresses,Poshmark
323,reformation shirley dress,75,XS,Reformation,PreOwned,dresses,Poshmark
324,reformation badlands jean jacket nwt,65,M,Reformation,New,outerwear,Poshmark
325,reformation | urban renewal clay mini shift dress,39,S,Reformation,New,dresses,Poshmark
326,nwt reformation maurie dress in aubergine size l,89,L,Reformation,New,dresses,Poshmark
327,reformation vintage soft leather shearling coat,112,S,Reformation,PreOwned,outerwear,Poshmark
328,reformation cory high waisted black skinny jeans,55,28,Reformation,PreOwned,bottoms,Poshmark
329,reformation sunset cap sleeve mini dress in iris,160,0,Reformation,PreOwned,dresses,Poshmark
330,reformation green cropped oversized t-shirt,30,L,Reformation,PreOwned,tops,Poshmark
331,reformation sydney dress size 12  navy blue mini,95,12,Reformation,PreOwned,dresses,Poshmark
332,nwt reformation fit flare lou midi dress,95,S,Reformation,New,dresses,Poshmark
